icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a49ca4,N39688  ,United States,-111.7607,40.2334,1600.2,43.95,332.84,-2.28,1630.68,-1.0499999999999972,647.7,1
a49d16,DAL1921 ,United States,-122.0905,46.8306,5692.14,188.06,161.66,10.4,5699.76,144.11,4069.08,1
a49d22,DAL1437 ,United States,-103.7718,40.9021,8077.2,234.49,47.49,5.85,8161.02,46.43000000000001,2461.26,1
a49d5d,LXJ397  ,United States,-114.0789,33.5304,11871.96,218.52,102.92,4.55,12161.52,-15.969999999999999,4000.5,1
a49d9b,N397JJ  ,United States,-106.8643,34.6496,12192.0,207.48,272.27,0.0,12519.66,-11.04000000000002,358.1399999999994,1
a49f89,UAL287  ,United States,-96.9931,45.7816,12192.0,201.64,262.97,0.0,12077.7,-5.840000000000003,-441.9599999999991,1
a4a0d9,DAL1181 ,United States,-80.1758,26.0771,0.0,68.43,90.86,-3.58,53.34,-133.20999999999998,-12024.36,1
a4a484,DAL1434 ,United States,-115.5934,35.7677,10668.0,240.14,48.39,0.33,10904.22,171.70999999999998,10850.88,1
a4a49d,N399EA  ,United States,-111.0514,32.4187,1295.4,45.84,134.09,-2.28,1325.88,-194.29999999999998,-9578.34,1
a4a4ea,N399HC  ,United States,-119.2171,39.1174,8458.2,129.46,192.16,5.2,8633.46,83.62,7307.579999999999,1
a4a538,TCN399  ,United States,-82.6348,35.6425,4404.36,110.2,319.54,-8.45,4541.52,-19.260000000000005,-4091.9399999999987,1
a4a897,N4GT    ,United States,-75.5579,37.8405,9144.0,155.38,216.11,-0.33,9334.5,45.17999999999999,4792.98,1
a4a9f6,N4WU    ,United States,-116.2571,43.5748,868.68,51.74,107.35,-3.25,937.26,-103.63999999999999,-8397.24,1
a4aae4,STT40   ,United States,-117.357,47.8236,739.14,48.69,195.95,-3.9,762.0,-3.0500000000000043,-175.26,1
a4ab7a,N40NF   ,United States,-95.0422,31.6673,3322.32,99.72,50.23,0.0,3467.1,51.03,2705.1,1
a4abef,N40SY   ,United States,-81.5947,25.3179,2712.72,63.36,23.44,0.98,2834.64,-36.36,-632.46,1
a4ad6a,N400JA  ,United States,-91.0145,36.0414,13616.94,189.39,282.07,-2.6,13921.74,126.02999999999999,11087.1,1
a4ae52,N400TH  ,United States,-93.0201,30.1311,6080.76,216.08,277.94,-7.8,6377.94,26.690000000000026,-7543.8,1
a4ae9b,N400WF  ,United States,-105.424,39.3778,11468.1,214.11,110.83,3.58,11612.88,-1.9699999999999989,5234.94,1
a4aea7,N400WT  ,United States,-88.5163,41.7996,388.62,43.52,147.06,-1.95,403.86,-170.59,-11209.019999999999,1
a4af03,N4000K  ,United States,-95.1239,40.3137,12192.0,167.95,243.04,0.0,12306.3,124.42999999999998,11902.439999999999,1
